regione,ripartizione_5,ripartizione_3
Piemonte,Nord-ovest,Nord
Valle d'Aosta,Nord-ovest,Nord
Lombardia,Nord-ovest,Nord
Liguria,Nord-ovest,Nord
P.A. Bolzano,Nord-est,Nord
P.A. Trento,Nord-est,Nord
Veneto,Nord-est,Nord
Friuli Venezia Giulia,Nord-est,Nord
Emilia-Romagna,Nord-est,Nord
Toscana,Centro,Centro
Umbria,Centro,Centro
Marche,Centro,Centro
Lazio,Centro,Centro
Abruzzo,Sud,Sud
Molise,Sud,Sud
Campania,Sud,Sud
Puglia,Sud,Sud
Basilicata,Sud,Sud
Calabria,Sud,Sud
Sicilia,Isole,Sud
Sardegna,Isole,Sud
